cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_point_color,population,habitat,poisonous
undefined,smooth,brown,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,urban,1
undefined,smooth,yellow,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,grass,0
bell,smooth,white,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,meadow,0
undefined,scaly,white,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,urban,1
undefined,smooth,grey,False,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,abundant,grass,0
undefined,scaly,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,1,pendant,black,numerous,grass,0
bell,smooth,white,True,almond,free,close,broad,grey,enlarging,club,smooth,smooth,white,white,partial,white,1,pendant,black,numerous,meadow,0
bell,scaly,white,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,meadow,0
undefined,scaly,white,True,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,grass,1
bell,smooth,yellow,True,almond,free,close,broad,grey,enlarging,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,meadow,0
undefined,scaly,yellow,True,anise,free,close,broad,grey,enlarging,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,grass,0
undefined,scaly,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,meadow,0
bell,smooth,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grass,0
undefined,scaly,white,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,1
undefined,fibrous,brown,False,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grass,0
sunken,fibrous,grey,False,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,0
flat,fibrous,white,False,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,abundant,grass,0
undefined,smooth,brown,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grass,1
undefined,scaly,white,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,urban,1
undefined,smooth,brown,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,urban,1
bell,smooth,yellow,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,meadow,0
undefined,scaly,brown,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,grass,1
bell,scaly,yellow,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,meadow,0
bell,scaly,white,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,meadow,0
bell,smooth,white,True,anise,free,close,broad,grey,enlarging,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,meadow,0
flat,smooth,white,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,grass,1
